epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1665,0,62.3636,0,0,0,0,0,0,102.357,0,0.0002875,0.0002875,0.0002875
2,138.839,0,53.145,0,0,0,0,0,0,94.0512,0,0.000581684,0.000581684,0.000581684
3,207.203,0,47.9099,0,0,0,0,0,0,80.2897,0,0.000869928,0.000869928,0.000869928
4,272.52,0,42.9272,0,0,0,0,0,0,71.0606,0,0.00115223,0.00115223,0.00115223
5,347.105,0,38.5831,0,0,0,0,0,0,62.7117,0,0.0012005,0.0012005,0.0012005
6,422.464,0,34.8779,0,0,0,0,0,0,56.7738,0,0.00118812,0.00118812,0.00118812
7,495.841,0,31.8399,0,0,0,0,0,0,55.418,0,0.00117575,0.00117575,0.00117575
8,569.724,0,29.186,0,0,0,0,0,0,51.1725,0,0.00116337,0.00116337,0.00116337
9,637.936,0,26.6719,0,0,0,0,0,0,46.5789,0,0.001151,0.001151,0.001151
10,704.247,0,24.3979,0,0,0,0,0,0,41.328,0,0.00113863,0.00113863,0.00113863
11,772.082,0,22.391,0,0,0,0,0,0,40.3269,0,0.00112625,0.00112625,0.00112625
12,845.634,0,20.4913,0,0,0,0,0,0,36.2784,0,0.00111388,0.00111388,0.00111388
